id,name,title,sector,status,radius,plane,island,badges,ref
ep,Jeffrey Epstein,Financier · sex trafficker,center,center,26,true,true,,US v. Epstein SDNY 2019 · MCC death investigation · USAO SDNY
trump,Donald Trump,45th & 47th US President,political,active,18,true,false,"social,alleged,postconv",US v. Epstein SDNY 2019 · MCC death investigation · USAO SDNY
clinton,Bill Clinton,42nd US President,political,active,16,true,false,"social,access",FBI 302 Reiter Oct 2019 · EFTA01656152 · EFTA01648950 · EFTA01660651 · EFTA00025553 · EFTA00025010 (unverified/fake per DOJ) · House Judiciary exhibit HHRG-119-JU08-20250227-SD006 · NPR Feb 2026 · NBC Feb 25 2026
barak,Ehud Barak,Former Israeli Prime Minister,political,active,14,true,true,"financial,social,postconv",Flight logs · House Oversight · Wikipedia Connections
mandelson,Peter Mandelson,UK Trade Commissioner · Labour,political,stripped,14,true,true,"social,access,postconv",EFTA DataSet 11 · Wikipedia Connections · PBS Feb 2026
bannon,Steve Bannon,Trump strategist · Breitbart,political,active,12,true,false,"social,access",DOJ files Jan 2026 · Wikipedia List of people · CBS Feb 2026
barr,William Barr,US Attorney General 2019–2020,legal,active,11,false,false,"alleged,access",Wikipedia Connections · House Oversight email release Nov 2025 · EFTA00025553 · rhowardstone/Epstein-research LEAD_VERIFICATION_REPORT.md
lutnick,Howard Lutnick,Commerce Secretary (Trump) · Cantor Fitzgerald CEO,political,active,13,false,true,"financial,social,postconv",EFTA01648950 · EFTA01648951 · EFTA01648955 · rhowardstone/Epstein-research FINAL_INVESTIGATION_REPORT.md · Democracy Defenders Fund
ruemmler,Kathryn Ruemmler,Obama White House Counsel → Goldman Sachs GC,legal,removed,11,false,false,"social,access,postconv",EFTA00398857 · EFTA00435530 · EFTA00173881 · EFTA01660622 · NBC News Feb 14 2026 · rhowardstone/Epstein-research LUTNICK_DUBIN_INVESTIGATION.md
oz,Mehmet Oz,CMS Administrator (Trump) · former TV host,social,active,10,false,false,social,House Oversight email release Nov 2025 · NBC News Feb 14 2026
feinberg,Stephen Feinberg,Deputy Sec. of Defense (Trump) · Cerberus Capital,finance,active,10,false,false,financial,EFTA01788803 · NBC News Feb 14 2026
rfk,RFK Jr.,HHS Secretary (Trump admin),political,active,10,true,false,social,EFTA01359040 · NBC News Feb 14 2026
barrack,Tom Barrack,US Ambassador to Turkey · Colony Capital,political,active,11,false,false,"social,financial",EFTA01875865 · NBC News Feb 14 2026
wexner,Les Wexner,Victoria\,political,stripped,15,true,true,"financial,enabler",Wikipedia Connections · DOJ files
acosta,Alexander Acosta,US Attorney SDFL → Trump Labor Secretary,legal,removed,14,false,false,"legal,enabler",Epstein files · Wikipedia · EFTA transparency act pressure Feb 2026
staley,Jes Staley,JPMorgan Private Bank → Barclays CEO,finance,removed,15,true,true,"financial,social,postconv,alleged",EFTA02857524 · DOJ OPR report Nov 2020 · Miami Herald 2019
black,Leon Black,Apollo Global Management co-founder,finance,removed,15,true,true,"financial,social,postconv,alleged",FCA final notice 2023 · Al Jazeera Feb 2026 · EFTA DataSet 11 · DOJ files victim allegation
dubin,Glenn Dubin,Highbridge Capital founder,finance,active,12,true,unclear,"financial,social,postconv",Apollo/Dechert review 2021 · MIT report 2020 · Congress.gov SAR list · DOJ files victim allegation
dershowitz,Alan Dershowitz,Harvard Law professor · defence attorney,legal,pending,13,true,true,"legal,alleged",Time · Congress.gov SAR list · USVI subpoena notice
erdoes,Mary Erdoes,JPMorgan Asset Management CEO,finance,active,11,true,unclear,"financial,access",DOJ OPR report Nov 2020 · Congress.gov SAR list
gates,Bill Gates,Microsoft co-founder · Gates Foundation,tech,active,17,true,unclear,"financial,social,postconv",EFTA DataSet 11 · Bloomberg emails analysis
summers,Larry Summers,US Treasury Secretary · Harvard president,political,removed,13,true,true,"social,access,postconv",MIT Goodwin Procter 2020 · Inside Philanthropy Jan 2026 · Gates Feb 2026
musk,Elon Musk,Tesla / X / SpaceX CEO,tech,active,13,false,false,social,EFTA DataSet 11 · CNN Jan 2026 · NPR Nov 2025 · Inside Higher Ed Feb 2026 · Wikipedia Connections
thiel,Peter Thiel,Palantir / PayPal co-founder · Valar Ventures,tech,active,12,false,false,"financial,social,postconv",EFTA files Jan 2026 · PBS Feb 2026
ito,Joi Ito,MIT Media Lab director,tech,removed,12,true,true,"financial,social,postconv",Factually.co Dec 2025 · Wikipedia Connections · Bloomberg emails
hoffman,Reid Hoffman,LinkedIn co-founder · Greylock Partners,tech,active,12,false,true,"social,access",MIT Goodwin Procter report 2020 · New Yorker 2019
church,George Church,Harvard geneticist · Personal Genome Project,tech,active,11,false,false,"financial,social,postconv",Inside Philanthropy Jan 2026 · House Oversight emails Nov 2025
nowak,Martin Nowak,Harvard math / biology professor,tech,active,11,false,false,"financial,social",Wikipedia List of people named · Harvard
attia,Peter Attia,Physician · longevity researcher,tech,removed,11,false,false,"social,postconv",Epstein files · Wikipedia · Harvard
axel,Richard Axel,Nobel laureate · Columbia biologist,tech,removed,11,true,true,"social,postconv",Wikipedia List of people named
brunel,Jean-Luc Brunel,Model scout · MC2 Model Management founder,social,deceased,13,true,unclear,"enabler,alleged,financial",Wikipedia List of people named
kellen,Sarah Kellen,Epstein personal assistant / scheduler,legal,active,12,true,true,"enabler,alleged",House Oversight Nov 2025 · DOJ files · Wikipedia
groff,Lesley Groff,Epstein personal assistant,legal,active,11,true,true,"enabler,legal",NPA 2008 · DOJ files · Wikipedia
andrew,Andrew Mountbatten-Windsor,Duke of York (stripped),social,pending,17,true,true,"social,alleged,postconv",EFTA02857729 · EFTA DataSet 11 · NPA 2008
ferguson,Sarah Ferguson,Duchess of York (ex),social,stripped,11,true,unclear,"financial,social,postconv",DOJ files Jan 2026 · Giuffre settlement 2022 · PBS Feb 2026
allen,Woody Allen,Film director,social,active,11,true,false,"social,postconv",Wikipedia List of people named · PBS Feb 2026
branson,Richard Branson,Virgin Group founder,social,active,12,false,true,"social,postconv",Wikipedia List of people named
chomsky,Noam Chomsky,Linguist · philosopher · MIT professor,social,active,12,true,false,"financial,social,postconv",DOJ files Jan 2026 · PBS Feb 2026
brende,Børge Brende,World Economic Forum CEO · resigned Feb 2026,political,removed,11,false,false,"social,access",Wikipedia List of people named · WSJ · DOJ files
boehly,Todd Boehly,Chelsea FC chairman · LA Dodgers / Lakers owner,finance,active,10,false,false,"financial,access",Wikipedia List of people named · Al Jazeera Feb 2026
ariely,Dan Ariely,Behavioural economist · Duke / MIT,tech,active,10,false,false,"social,postconv",Wikipedia List of people named
burns,William Burns,Former CIA Director · Deputy Sec of State,political,active,11,true,true,"social,access",Wikipedia List of people named
maxwell,Ghislaine Maxwell,Epstein\,legal,incarcerated,19,true,true,"legal,alleged,enabler",Wikipedia List of people named
giuffre,Virginia Giuffre,Epstein survivor · advocate,legal,deceased,12,true,true,alleged,US v. Maxwell SDNY 2021 · House Oversight Feb 9 2026
brockman,John Brockman,Literary agent · Edge Foundation founder,social,active,10,false,false,"financial,social,postconv",DOJ files Jan 2026 · CNN · PBS
bach,Joscha Bach,Cognitive scientist · MIT Media Lab,tech,active,10,false,false,"financial,social,postconv",Wikipedia List of people named
ambani,Anil Ambani,Indian billionaire · Reliance Group,political,active,10,,,"social,access",Wikipedia List of people named
sulayem,Sultan Ahmed bin Sulayem,DP World Chairman & CEO · Dubai,finance,stripped,15,,,"financial,social,postconv",Wikipedia List of people named
jarecki,Henry Jarecki,Billionaire psychiatrist · Monocle Capital,finance,active,12,,,"financial,alleged,postconv",EFTA00666117 · Wikipedia Sultan Ahmed bin Sulayem · CNBC Feb 2026 · CNN Feb 2026 · Newsweek Feb 2026
pritzker,Tom Pritzker,Hyatt Hotels (resigned) · Pritzker Foundation,finance,stripped,11,,,"financial,access",DOJ FBI files · Wikipedia List of people named · reporting on FBI victim allegations
weinstein,Harvey Weinstein,Film producer (convicted),social,incarcerated,12,true,true,alleged,Wikipedia List of people named · CNBC Feb 2026 · Inside Philanthropy Jan 2026
jagland,Thorbjørn Jagland,Former PM Norway · Council of Europe SG,political,pending,14,true,true,"financial,social,postconv","DOJ FBI internal PowerPoint 2025 · Wikipedia · reporting on FBI ""salacious statements"" list"
juul,Mona Juul,Norwegian diplomat · UN Ambassador,political,stripped,12,,unclear,"financial,access",Britannica Epstein timeline · Al Jazeera Feb 2026 · Reuters factbox
rodlarsen,Terje Rød-Larsen,Oslo Accords architect · Int\,political,stripped,13,,unclear,"financial,access,postconv",Al Jazeera Feb 2026 · Britannica · Reuters factbox
metteMarit,Crown Princess Mette-Marit,Crown Princess of Norway,political,stripped,12,,unclear,"social,postconv",Al Jazeera Feb 2026 · Reuters · Wikipedia Connections of Epstein
jacklang,Jack Lang,Former French Culture Minister,political,pending,13,false,unclear,"financial,social,postconv",Al Jazeera Feb 2026 · Connections of Jeffrey Epstein Wikipedia · Reuters
lajcak,Miroslav Lajčák,Slovak FM · UN General Assembly president,political,stripped,11,false,false,"social,access",Al Jazeera Feb 2026 · Reuters factbox · France 24 · rhowardstone/Epstein-research
ariane,Ariane de Rothschild,Edmond de Rothschild Group CEO,finance,active,13,false,unclear,"financial,access,postconv",Reuters factbox Feb 2026 · Britannica · EverybodyWiki Epstein list
churkin,Vitaly Churkin,Russia\,political,deceased,11,false,false,"access,financial",Connections of Jeffrey Epstein Wikipedia · France 24 Feb 2026 · Euronews
belyakov,Sergey Belyakov,Russian Deputy Minister of Economic Development,political,active,10,false,false,"access,social",Connections of Jeffrey Epstein Wikipedia · Euronews Mar 2026 · Axios Feb 2026
candy,Nick Candy,Property developer · Reform UK treasurer,social,active,10,false,false,"financial,social",Connections of Jeffrey Epstein Wikipedia · Euronews Mar 2026 · Axios Feb 2026
pinker,Steven Pinker,Harvard cognitive psychologist · author,tech,active,11,true,false,"social,postconv",Wikipedia List of people named · BBC
krauss,Lawrence Krauss,Theoretical physicist · Arizona State University,tech,removed,12,true,true,"financial,social,postconv",Connections of Jeffrey Epstein Wikipedia · Wikipedia Epstein files list
minsky,Marvin Minsky,MIT AI pioneer (deceased),tech,deceased,11,false,false,"financial,social,alleged",Connections of Jeffrey Epstein Wikipedia · EverybodyWiki · Wikipedia Epstein files list
lloyd,Seth Lloyd,MIT quantum computing professor,tech,active,10,false,false,"financial,social,postconv",Wikipedia Connections of Epstein · Giuffre legal filings · Bloomberg
zuckerberg,Mark Zuckerberg,Meta CEO · Facebook founder,tech,active,11,false,false,social,MIT Goodwin Procter report 2020 · Wikipedia Epstein files list
brin,Sergey Brin,Google co-founder,tech,active,10,false,true,social,Wikipedia List of people named · rhowardstone/Epstein-research
dawkins,Richard Dawkins,British biologist · author,tech,active,10,false,false,social,Wikipedia List of people named · NYT
kamen,Dean Kamen,Inventor · DEKA Research · Beta Technologies,tech,stripped,11,false,true,"social,alleged,postconv",Wikipedia List of people named · Connections of Jeffrey Epstein Wikipedia
dbrooks,David Brooks,New York Times columnist,social,active,10,false,false,social,EverybodyWiki Epstein files list · DOJ files Jan 2026 · Wikipedia List of people named
copperfield,David Copperfield,American illusionist,social,active,11,false,unclear,"social,alleged",Wikipedia List of people named
cosby,Bill Cosby,Comedian · actor (convicted),social,incarcerated,10,false,false,social,Wikipedia List of people named · DOJ files Dec 2025 · Sjoberg testimony
andersson,Eva Andersson-Dubin,Physician · Epstein\,social,active,11,true,unclear,"social,postconv",Wikipedia List of people named
