date,time_et,platform,statement_type,quote,context,market_event,contradiction,source_title,source_outlet,source_url,source_date
2026-01-02,,Truth Social,Threat,"[Threatened military action against Iran over nuclear program]","Jan escalation of maximum pressure campaign — Trump warned Iran of serious military consequences if nuclear talks failed","","Contradicts 2025 claim that Iran's nuclear program had been 'obliterated'","CRS Report R48887 footnote 9",Congressional Research Service,https://www.congress.gov/crs_external_products/R/PDF/R48887/R48887.1.pdf,2026-03-26
2026-01-13,,Truth Social,Threat,"[Reiterated military threat to Iran]","Second Truth Social warning in January escalation phase","","","CRS Report R48887 footnote 9",Congressional Research Service,https://www.congress.gov/crs_external_products/R/PDF/R48887/R48887.1.pdf,2026-03-26
2026-02-24,,State of the Union,Justification,"Iran has restarted its nuclear program and is developing missiles capable of striking the US.","SOTU address — cited as justification for military action","","Contradicts Trump's own prior statement that Iran's nuclear program was 'obliterated' after June 2025 strikes. Contradicts US intelligence assessments — Iran would need until 2035 to develop capable missiles. NCTC director later resigned citing this.","2026 Iran war — Wikipedia",Wikipedia,https://en.wikipedia.org/wiki/2026_Iran_war,2026-04-24
2026-02-28,,Truth Social / White House video,War announcement,"A short time ago the United States military began major combat operations in Iran. Our objective is to defend the American people by eliminating imminent threats from the Iranian regime. A vicious group of very hard terrible people.","8-minute Truth Social video announcing Operation Epic Fury","S&P futures fell ~2.1% on open. Oil surged toward $120/barrel within 48hrs.","","Read Trump's full statement on Iran attacks",PBS NewsHour,https://www.pbs.org/newshour/world/read-trumps-full-statement-on-iran-attack,2026-02-28
2026-03-01,,Speech,Duration claim,"Combat operations continue at this time in full force and they will continue until all of our objectives are achieved. [To NYT: We intended four to five weeks.]","First public duration estimate given","","War entered week 8+ with no resolution. Four-to-five week claim abandoned without acknowledgement.","A timeline of Trump's shifting statements about how long the Iran war will last",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-03-02,,White House ceremony,Progress claim,"We're already substantially ahead of our time projections. But whatever the time is it's OK.","White House ceremony","","No time projection had been publicly defined.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-03-05,,Event speech,Victory claim,"The United States military together with the wonderful Israeli partners continues to totally demolish the enemy far ahead of schedule and at levels that people have never seen before.","Inter Miami CF White House event","","Strait of Hormuz remained closed. No schedule existed to be ahead of.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-03-07,,Air Force One + Truth Social,Victory claim,"We're winning the war by a lot. We've decimated their whole evil empire. [Truth Social: victory already occurred. 'We don't need people that join Wars after we've already won!']","Reporters on Air Force One","","Iran was simultaneously attacking US bases and allies. War continued 7+ weeks after this statement.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-03-09,,Press conference (Doral FL),Progress + duration,"We're achieving major strides toward completing our military objective. And some people could say they're pretty well complete. [On timeline: very soon.]","Press conference in Doral Florida. A CBS reporter shared 'very complete' quote on social media.","47 minutes after CBS reporter shared the 'very complete' quote on social media a massive surge of bets on oil prices falling hit the market. BBC confirmed pattern.","War was far from complete. Duration claim contradicted all prior estimates.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-03-09,,Press conference (Doral FL),Market event — oil futures,"[No public statement at time of trades]","47 minutes before or after CBS reporter's social media share of 'very complete' quote","Massive surge of bets on oil price falling hit markets 47 minutes after CBS reporter shared Trump's 'very complete' quote. BBC analysis confirmed pattern across multiple military actions.","","Evidence of insider trading on Iran war grows",Salon,https://www.salon.com/2026/03/26/evidence-of-insider-trading-on-iran-war-grows/,2026-03-26
2026-03-14,,Truth Social,Progress claim,"[Unspecified Truth Social post — referenced in CRS report]","CRS Report footnote 32 references this Truth Social post","","","CRS Report R48887 footnote 32",Congressional Research Service,https://www.congress.gov/crs_external_products/R/PDF/R48887/R48887.1.pdf,2026-03-26
2026-03-20,,Press conference,Victory claim,"Oh I think we won. We've knocked out their Navy their Air Force. We've knocked out their anti-aircraft. We've knocked out everything. We're roaming free. From a military standpoint all they're doing is clogging up the strait. But from a military standpoint they're finished. We've defeated the enemy and they are an enemy.","Reporter asked what he meant saying war was militarily won. Trump also rejected Pope Leo XIV's call for ceasefire: 'you don't do a ceasefire when you're literally obliterating the other side.'","","Iran continued missile and drone strikes. Strait remained closed. Hezbollah resumed hostilities in Lebanon. Pope Leo XIV's ceasefire call rejected.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-03-20,,Truth Social,Progress claim,"We are getting very close to meeting our objectives as we consider winding down military efforts in Iran.","Same day as press conference victory claim","","War continued for 5+ more weeks after this post.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-03-21,,Truth Social,Threat,"If Iran didn't fully open the strait he would obliterate its power plants.","Ultimatum on Strait of Hormuz","","Iran did not open the strait. Power plants were not immediately struck.","CRS Report R48887 footnote 22",Congressional Research Service,https://www.congress.gov/crs_external_products/R/PDF/R48887/R48887.1.pdf,2026-03-26
