date,section,source_type,claim,reality,source_name,source_url,flight_ref,status
Jun–Sep 2024,Epstein Files,TV / Podcast,Trump promises on Fox News and Lex Fridman's podcast to release the Epstein files if elected.,Filed under commitments. Became the basis of congressional pressure after election.,Fox News / Lex Fridman Podcast,https://www.foxnews.com,,
Feb 21 2025,Epstein Files,TV Interview,AG Pam Bondi tells Fox News the Epstein client list is 'sitting on my desk right now to review.',DOJ later stated no such list existed. Triggered congressional push for the EFTA.,Fox News w/ John Roberts,https://www.foxnews.com,,
Feb 27 2025,Epstein Files,DOJ Release,DOJ drops flight logs and a contact book that is mostly redacted. White House hands binders labelled 'Epstein Files: Phase 1 — Declassified' to conservative influencers.,Much of the release was already public. Key names heavily redacted.,DOJ release / Rep. Luna statement,https://www.justice.gov,https://imanebayoub.github.io/Epstein-Flight-Explorer/,
Apr 25 2025,Epstein Files,News,"Giuffre, Epstein's most prominent survivor-accuser, dies by suicide in Australia.",Her FBI 302 interview records remain among those not released as of April 2026.,AP / BBC,https://apnews.com,,
Jul 7 2025,Epstein Files,DOJ Memo,"DOJ declares the client list does not exist, no blackmail evidence found, death was suicide. Same day: DOJ fires Maurene Comey — the prosecutor who actually put Epstein behind bars.","Directly contradicted by EFTA02857524 — a 205-page prosecution memo recommending 60-count indictment, withheld from the initial release.",DOJ memo Jul 7 2025,https://www.justice.gov,,
Jul 11–16 2025,Epstein Files,Truth Social,Trump: Epstein is 'somebody nobody cares about' (Jul 12) and the files are 'a big hoax' (Jul 16).,"The EFTA passed 427–1 weeks later, indicating 427 members of Congress disagreed.",Truth Social Jul 12 & 16 2025,https://truthsocial.com,,
Jul 17 2025,Epstein Files,Investigative Report,"WSJ reports Epstein's 2003 birthday book contains a letter in Trump's name — text framed by a hand-drawn naked woman, signed 'Donald.'",White House called it 'nonexistent.' Epstein's estate later produced the book to a congressional subpoena — matching WSJ's reporting in every detail.,Wall Street Journal (Safdar & Palazzolo),https://www.wsj.com,,
Jul 23 2025,Epstein Files,Investigative Report,WSJ reports Bondi told Trump in May his name is 'among many' in the files. Trump denies it.,A federal judge also denies grand jury release the same day.,Wall Street Journal,https://www.wsj.com,,
Aug–Sep 2025,Epstein Files,DOJ Release,Maxwell interview released — she says Trump and Epstein were 'friendly in social settings.' Rep. Massie files discharge petition.,Administration calls it 'not credible.' Discharge petition ultimately forces the EFTA.,DOJ Maxwell release / CBS Sep 2 2025,https://www.cbsnews.com,,
Nov 12–19 2025,Epstein Files,Legislation,"Epstein Files Transparency Act passes 427–1. Trump signs it, then posts calling it 'a Hoax' on Truth Social.",30-day statutory clock begins. Dec 19 deadline set.,Wikipedia / EFTA / Truth Social,https://truthsocial.com,,
